Monaco,15142,"1,98",36371
Gibraltar (UK),4328,"6,8",29431
Vatican City,2045,"0,44",900
Malta,1260,316,397499
Guernsey (UK),990,78,64587
Jersey (UK),774,116,89775
San Marino,455,61,27730
Netherlands,393,41526,"16,929,500"
Belgium,337,30510,11007020
United Kingdom,256,243610,62262000
Germany,233,357021,81799600
Liechtenstein,205,160,32842
Italy,192,301230,59715625
Switzerland,177,41290,7301994
Luxembourg,173,2586,512000
Andorra,146,468,68403
Moldova,131,33843,4434547
Czech Republic,130,78866,10674947
Isle of Man,129,572,73873
Denmark,125,43094,5368854
Poland,124,312685,38625478
Albania,123,28748,3544841
Cyprus,117,9248,803147
Slovakia,111,48845,5422366
France,111,547030,63601002
Portugal,109,92391,10617999
Azerbaijan,109,86600,9493600
Armenia,108,29743,3262200
Hungary,108,93030,10075034
Serbia,97,88361,7498001
Austria,97,83858,8169929
Slovenia,95,20273,2048847
Spain,92,505782,46777373
Greece,81,131940,11606813
Macedonia,81,25713,2054800
Romania,80,238391,19043767
Croatia,78,56542,4490751
Bosnia and Herzegovina,78,51129,3964388
Ukraine,76,603700,45396470
Georgia,71,69700,4960951
Bulgaria,69,110910,7621337
Ireland,65,70280,4581269
Lithuania,55,65200,3601138
Belarus,50,207600,10335382
Montenegro,48,13812,626000
Latvia,37,64589,2366515
Faroe Islands (Denmark),33,1399,46011
Estonia,28,45226,1294236
Sweden,20,449964,9515744
Finland,16,338424,5410233
Norway,13,385252,5033675
Russia,8,17075400,143100000
Iceland,3,103001,320060
Total,"31,56",26680676,842033572
