Bangladesh,1107,143998,159449084
Taiwan,646,36191,23392036
South Korea,503,100210,50423955
Rwanda,416,25314,10537222
Netherlands,408,41526,16930521
Haiti,397,27065,10745665
India,390,3287240,1280764250
Israel,383,22072,8445255
Belgium,368,30528,11237963
Burundi,343,27816,9530434
Philippines,341,300000,102424801
Japan,336,377944,126832000
Sri Lanka,309,65610,20277597
Vietnam,268,331212,88780000
United Kingdom,262,242910,64105700
Pakistan,238,803940,191599929
Germany,228,357168,81285000
Italy,202,301308,60762320
Switzerland,198,41285,8183800
Dominican Republic,197,47875,9445281
North Korea,196,122762,24052231
Nigeria,193,923768,178517000
Nepal,180,147181,26494504
Uganda,152,241551,36600000
Guatemala,145,108889,15806675
China,142,9640821,1373455010
Indonesia,135,1904569,257080000
Czech Republic,133,78867,10517400
Thailand,128,513120,65926261
Poland,123,312685,38496000
Malawi,121,118484,14388600
France,118,543965,64149000
Syria,115,185180,21377000
Portugal,115,92090,10562178
Azerbaijan,109,86600,9477100
Hungary,106,93029,9879000
Ghana,103,238533,24658823
Cuba,102,109886,11163934
Austria,101,83879,8504850
Turkey,100,783562,76667864
United Arab Emirates,99,83600,8264070
Spain,93,503783,46609700
Benin,92,112622,10323000
Malaysia,94,330803,30939000
Egypt,90,1002450,89938482
Romania,84,238391,20121641
Cambodia,84,181035,15184116
Greece,84,131957,11123034
Ethiopia,83,1063652,87952991
Iraq,83,434128,36004552
Myanmar,76,676577,51419420
Kenya,78,581834,45546000
Ukraine,75,603628,45377581
Honduras,75,112088,8385072
Morocco,76,446550,33801579
Ivory Coast,72,322921,23202000
Senegal,69,196722,13567338
Uzbekistan,69,444103,30492800
Tunisia,66,163610,10777500
Bulgaria,66,111002,7282041
Burkina Faso,64,270764,17322796
Ecuador,63,255595,16131500
Mexico,61,1967138,119713203
Tajikistan,57,143100,8160000
Yemen,54,455000,24527000
Tanzania,51,883749,44928923
Iran,48,1648195,78822750
Belarus,46,207600,9469200
Guinea,44,245857,10824200
Cameroon,44,466050,20386799
South Africa,43,1220813,52981991
Colombia,42,1141748,48414777
Afghanistan,39,645807,25500100
Madagascar,35,587041,20696070
Zimbabwe,33,390757,12973808
United States,33,9826675,322330643
Venezuela,32,916445,28946101
Mozambique,30,799380,23700715
Democratic Republic of the Congo,30,2345095,69360000
Peru,24,1285216,30475144
Brazil,24,8515767,205261514
Chile,22,756096,16634603
Sweden,22,449964,9684858
South Sudan,18,644329,11296000
Zambia,17,752612,13092666
Sudan,17,1839542,30894000
Angola,17,1246700,20609294
Algeria,16,2381741,38700000
Papua New Guinea,16,462840,7398500
Somalia,15,637657,9331000
Argentina,14,2780400,40117096
Niger,14,1186408,17129076
Saudi Arabia,14,2149690,29994272
Mali,12,1248574,14528662
Bolivia,9,1098581,10389913
Chad,9,1284000,11274106
Russia,8,17098242,143975923
Kazakhstan,6,2724900,17186000
Canada,4,9984670,36196019
Australia,3,7692024,23976331
